Item,policy_cluster,inventory_model,SS,ROP,EOQ,s,S,production_level
500097,Dynamic,"(s,S)",4309.16,4547.17,1790.49,4547.17,6337.66,finished_products
500105,MTS,EOQ-ROP,3819.78,5687.94,5016.25,5687.94,10704.19,finished_products
500113,MTS,EOQ-ROP,3855.43,5699.53,4983.85,5699.53,10683.38,finished_products
500115,MTS,EOQ-ROP,3175.96,4211.44,3734.59,4211.44,7946.03,finished_products
500118,MTS,EOQ-ROP,4892.71,6755.56,5009.12,6755.56,11764.68,finished_products
500119,Dynamic,"(s,S)",6040.88,6420.49,2261.19,6420.49,8681.68,finished_products
500122,Dynamic,"(s,S)",857.52,902.2,775.7,902.2,1677.89,finished_products
500127,MTS,EOQ-ROP,2304.15,3122.77,3320.59,3122.77,6443.36,finished_products
500132,Dynamic,"(s,S)",2431.12,2582.35,1427.23,2582.35,4009.58,finished_products
500137,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500139,MTS,EOQ-ROP,11678.48,16476.87,8039.34,16476.87,24516.21,finished_products
500141,Dynamic,"(s,S)",2197.53,2298.26,1164.79,2298.26,3463.05,finished_products
500143,Dynamic,"(s,S)",5044.1,5414.35,2233.17,5414.35,7647.52,finished_products
500145,Dynamic,"(s,S)",3717.06,3925.48,1675.47,3925.48,5600.95,finished_products
500147,Dynamic,"(s,S)",1201.58,1266.05,931.87,1266.05,2197.92,finished_products
500150,Dynamic,"(s,S)",2661.48,2783.88,1283.99,2783.88,4067.88,finished_products
500182,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500188,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500196,MTS,EOQ-ROP,2691.42,3700.81,3687.25,3700.81,7388.05,finished_products
500199,MTS,EOQ-ROP,2598.56,4457.41,5003.74,4457.41,9461.15,finished_products
500203,MTS,EOQ-ROP,2667.96,4235.97,4595.64,4235.97,8831.61,finished_products
500206,MTS,EOQ-ROP,3824.07,5003.1,3985.06,5003.1,8988.15,finished_products
500208,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500209,MTS,EOQ-ROP,3699.96,5727.45,5225.79,5727.45,10953.25,finished_products
500213,MTS,EOQ-ROP,3474.8,4852.53,4307.79,4852.53,9160.31,finished_products
500215,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500219,MTS,EOQ-ROP,5675.38,9936.88,7576.24,9936.88,17513.12,finished_products
500220,MTS,EOQ-ROP,6613.28,9213.44,5917.96,9213.44,15131.39,finished_products
500227,Dynamic,"(s,S)",29199.89,31295.04,5312.27,31295.04,36607.3,finished_products
500229,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500232,MTS,EOQ-ROP,3362.03,5355.25,5181.43,5355.25,10536.68,finished_products
500235,MTS,EOQ-ROP,6387.31,10425.56,7375.11,10425.56,17800.68,finished_products
500241,MTS,EOQ-ROP,4273.34,6122.32,4990.43,6122.32,11112.75,finished_products
500244,MTS,EOQ-ROP,636.19,973.62,2131.86,973.62,3105.48,finished_products
500250,Dynamic,"(s,S)",5038.73,5478.33,2433.35,5478.33,7911.68,finished_products
500257,Comakership,EOQ-ROP,835.59,1372.42,2688.99,1372.42,4061.4,finished_products
500259,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500289,Dynamic,"(s,S)",3411.9,3704.61,1985.58,3704.61,5690.19,finished_products
500290,MTS,EOQ-ROP,5376.39,8509.34,6496.04,8509.34,15005.38,finished_products
500291,Dynamic,"(s,S)",7544.74,8000.34,2477.21,8000.34,10477.55,finished_products
500292,MTS,EOQ-ROP,6329.73,8768.62,5731.5,8768.62,14500.13,finished_products
500300,Dynamic,"(s,S)",3908.52,4182.36,1920.5,4182.36,6102.86,finished_products
500301,Dynamic,"(s,S)",10051.41,10516.84,2503.82,10516.84,13020.67,finished_products
500302,MTS,EOQ-ROP,1566.62,2203.02,2927.76,2203.02,5130.78,finished_products
500303,MTS,EOQ-ROP,1288.21,1726.11,2428.64,1726.11,4154.75,finished_products
500311,MTS,EOQ-ROP,3642.41,5367.9,4820.91,5367.9,10188.81,finished_products
