Item,avg_monthly,std_monthly,CV,CV2,ADI,zero_ratio,D_annual,avg_order_size,trend_slope,n_clientes,n_pedidos,Classe,demand_class,commercial_class,policy_cluster
500488,303.42,1011.91,3.3351,11.1226,12.0,0.9167,3641.0,3641.0,-56.6696,2,3,50,lumpy,low_volume_many_clients,Dynamic
500489,897.21,900.33,1.0035,1.007,1.7143,0.4167,10766.5,1538.07,-6.1604,4,22,50,lumpy,high_volume_many_clients,Dynamic
500491,739.42,2736.48,3.7009,13.6964,12.0,0.9167,8873.0,8873.0,77.5574,1,2,50,lumpy,high_volume_few_clients,Dynamic
500495,636.54,2082.79,3.272,10.7063,8.0,0.875,7638.5,5092.33,2.5804,3,4,50,lumpy,high_volume_many_clients,Dynamic
500497,119.04,276.77,2.325,5.4057,6.0,0.8333,1428.5,714.25,5.4874,4,4,50,lumpy,low_volume_many_clients,Dynamic
500498,102.62,275.37,2.6833,7.2001,8.0,0.875,1231.5,821.0,17.9083,3,3,50,lumpy,low_volume_many_clients,Dynamic
500499,21.12,101.31,4.7958,23.0,24.0,0.9583,253.5,507.0,5.07,1,1,50,lumpy,low_volume_few_clients,MTO
500500,35.17,168.65,4.7958,23.0,24.0,0.9583,422.0,844.0,-8.44,1,1,50,lumpy,low_volume_few_clients,MTO
500503,82.17,394.06,4.7958,23.0,24.0,0.9583,986.0,1972.0,12.8609,1,1,50,lumpy,low_volume_few_clients,MTO
500509,562.46,2269.99,4.0358,16.288,12.0,0.9167,6749.5,6749.5,97.8022,1,3,50,lumpy,high_volume_few_clients,Dynamic
500512,494.12,1149.53,2.3264,5.4122,4.0,0.75,5929.5,1976.5,36.6152,4,8,50,lumpy,high_volume_many_clients,Dynamic
500514,625.92,2103.6,3.3608,11.2952,8.0,0.875,7511.0,5007.33,-71.0574,3,3,50,lumpy,high_volume_many_clients,Dynamic
500516,153.25,360.76,2.354,5.5415,6.0,0.8333,1839.0,919.5,12.6896,3,4,50,lumpy,low_volume_many_clients,Dynamic
500517,311.5,982.35,3.1536,9.9454,8.0,0.875,3738.0,2492.0,-41.6209,3,5,50,lumpy,low_volume_many_clients,Dynamic
500525,323.29,730.76,2.2604,5.1093,6.0,0.8333,3879.5,1939.75,16.4004,4,8,50,lumpy,low_volume_many_clients,Dynamic
500527,13.71,65.74,4.7958,23.0,24.0,0.9583,164.5,329.0,-2.1457,1,1,50,lumpy,low_volume_few_clients,MTO
500529,889.17,1665.5,1.8731,3.5085,4.0,0.75,10670.0,3556.67,0.5504,1,7,50,lumpy,high_volume_few_clients,Dynamic
500531,1191.0,1905.86,1.6002,2.5607,2.0,0.5,14292.0,2382.0,15.3191,2,18,50,lumpy,high_volume_many_clients,Dynamic
500535,1519.25,3501.53,2.3048,5.312,3.0,0.6667,18231.0,4557.75,-199.2443,3,17,50,lumpy,high_volume_many_clients,Dynamic
500539,25.25,121.09,4.7958,23.0,24.0,0.9583,303.0,606.0,3.4252,1,1,50,lumpy,low_volume_few_clients,MTO
500541,634.58,2148.93,3.3864,11.4675,12.0,0.9167,7615.0,7615.0,-131.1278,1,7,50,lumpy,high_volume_few_clients,Dynamic
500544,34.04,163.26,4.7958,23.0,24.0,0.9583,408.5,817.0,-5.3283,1,1,50,lumpy,low_volume_few_clients,MTO
500545,2003.12,3337.76,1.6663,2.7765,3.4286,0.7083,24037.5,6867.86,189.0857,1,13,50,lumpy,high_volume_few_clients,Dynamic
500548,3177.33,4230.07,1.3313,1.7724,1.5,0.3333,38128.0,4766.0,-39.1861,5,31,50,lumpy,high_volume_many_clients,Dynamic
500549,884.67,2311.13,2.6124,6.8248,6.0,0.8333,10616.0,5308.0,97.4043,1,4,50,lumpy,high_volume_few_clients,Dynamic
500550,130.29,340.92,2.6166,6.8466,6.0,0.8333,1563.5,781.75,-0.7457,2,4,50,lumpy,low_volume_many_clients,Dynamic
500551,569.5,1504.98,2.6426,6.9835,3.4286,0.7083,6834.0,1952.57,-87.8226,3,9,50,lumpy,high_volume_many_clients,Dynamic
500552,27.58,132.29,4.7958,23.0,24.0,0.9583,331.0,662.0,-3.1661,1,1,50,lumpy,low_volume_few_clients,MTO
500553,83.88,292.09,3.4824,12.1274,12.0,0.9167,1006.5,1006.5,-9.8387,2,2,50,lumpy,low_volume_many_clients,Dynamic
500554,125.54,602.08,4.7958,23.0,24.0,0.9583,1506.5,3013.0,9.17,1,1,50,lumpy,low_volume_few_clients,MTO
500556,648.58,1455.17,2.2436,5.0338,4.8,0.7917,7783.0,3113.2,-35.027,1,5,50,lumpy,high_volume_few_clients,Dynamic
500559,14286.12,6858.38,0.4801,0.2305,1.0435,0.0417,171433.5,14907.26,-308.2074,1,70,50,stable,high_volume_few_clients,Comakership
500560,14824.0,8195.93,0.5529,0.3057,1.0909,0.0833,177888.0,16171.64,232.6687,1,69,50,stable,high_volume_few_clients,Comakership
500561,3379.96,3465.53,1.0253,1.0513,1.4118,0.2917,40559.5,4771.71,-116.3422,2,31,50,lumpy,high_volume_many_clients,Dynamic
500562,6574.96,8596.61,1.3075,1.7095,1.8462,0.4583,78899.5,12138.38,-281.4239,1,32,50,lumpy,high_volume_few_clients,Dynamic
500563,443.75,1522.55,3.4311,11.7724,12.0,0.9167,5325.0,5325.0,-85.6287,1,2,50,lumpy,high_volume_few_clients,Dynamic
500564,4016.84,3095.26,0.7706,0.5938,1.0,0.0,48202.07,4016.84,-143.0726,32,96,50,erratic,high_volume_many_clients,MTS
500566,2679.29,2666.32,0.9952,0.9903,1.4118,0.2917,32151.5,3782.53,60.3161,10,39,50,lumpy,high_volume_many_clients,Dynamic
500569,1941.89,1465.19,0.7545,0.5693,1.2,0.1667,23302.7,2330.27,-31.6533,19,41,50,erratic,high_volume_many_clients,MTS
500571,2670.58,3036.68,1.1371,1.293,1.4118,0.2917,32047.0,3770.24,-198.0678,11,49,50,lumpy,high_volume_many_clients,Dynamic
500584,2372.54,3708.73,1.5632,2.4436,2.1818,0.5417,28470.5,5176.45,23.3057,2,18,50,lumpy,high_volume_many_clients,Dynamic
500590,40.21,138.73,3.4504,11.9049,12.0,0.9167,482.5,482.5,-8.4326,2,2,50,lumpy,low_volume_many_clients,Dynamic
500591,3079.79,4023.75,1.3065,1.7069,2.0,0.5,36957.5,6159.58,-104.3126,1,22,50,lumpy,high_volume_few_clients,Dynamic
500592,1857.0,3592.85,1.9348,3.7433,2.6667,0.625,22284.0,4952.0,-187.0887,1,17,50,lumpy,high_volume_few_clients,Dynamic
500593,2955.79,3060.14,1.0353,1.0719,1.3333,0.25,35469.5,3941.06,70.2083,1,30,50,lumpy,high_volume_few_clients,Dynamic
500595,2025.04,1861.39,0.9192,0.8449,1.4118,0.2917,24300.5,2858.88,-63.9178,1,29,50,lumpy,high_volume_few_clients,Dynamic
500596,353.96,1271.89,3.5933,12.9121,12.0,0.9167,4247.5,4247.5,-82.7309,1,2,50,lumpy,low_volume_few_clients,MTO
500599,398.71,475.43,1.1924,1.4219,2.4,0.5833,4784.5,956.9,-7.1761,4,10,50,lumpy,high_volume_many_clients,Dynamic
500600,656.62,631.38,0.9616,0.9246,1.7143,0.4167,7879.5,1125.64,28.8152,1,16,50,lumpy,high_volume_few_clients,Dynamic
500602,156.62,361.55,2.3084,5.3286,4.8,0.7917,1879.5,751.8,19.0065,3,5,50,lumpy,low_volume_many_clients,Dynamic
500603,529.58,1100.23,2.0775,4.3161,4.8,0.7917,6355.0,2542.0,-57.5548,1,6,50,lumpy,high_volume_few_clients,Dynamic
500604,2669.04,2621.01,0.982,0.9643,1.1429,0.125,32028.5,3050.33,41.6613,16,46,50,erratic,high_volume_many_clients,MTS
500605,85.12,282.33,3.3166,11.0001,12.0,0.9167,1021.5,1021.5,0.9126,1,2,50,lumpy,low_volume_few_clients,MTO
500607,30.17,141.78,4.7,22.0898,12.0,0.9167,362.0,362.0,4.5878,2,2,50,lumpy,low_volume_many_clients,Dynamic
500608,1849.83,2268.35,1.2262,1.5037,1.5,0.3333,22198.0,2774.75,-48.8226,1,23,50,lumpy,high_volume_few_clients,Dynamic
500609,451.5,1642.53,3.6379,13.2346,12.0,0.9167,5418.0,5418.0,11.6504,1,2,50,lumpy,high_volume_few_clients,Dynamic
500610,846.42,4059.27,4.7958,23.0,24.0,0.9583,10157.0,20314.0,-203.14,1,1,50,lumpy,high_volume_few_clients,Dynamic
500611,250.46,1201.16,4.7958,23.0,24.0,0.9583,3005.5,6011.0,-60.11,1,1,50,lumpy,low_volume_few_clients,MTO
500613,1201.67,2154.45,1.7929,3.2144,3.4286,0.7083,14420.0,4120.0,-130.4226,2,16,50,lumpy,high_volume_many_clients,Dynamic
