Item,Classe,demand_class,commercial_class,policy_cluster,production_level,inventory_model,SS,ROP,EOQ,s,S,avg_monthly,std_monthly,ADI,CV2,D_annual,n_clientes,n_pedidos
300132,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",596.31,625.32,625.12,625.32,1250.44,113.62,293.32,6.0,6.6641,1363.5,2,4
300133,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",277.37,290.09,413.81,290.09,703.9,49.79,166.12,12.0,11.1313,597.5,2,2
300157,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",283.19,296.17,418.12,296.17,714.29,50.83,170.46,12.0,11.2441,610.0,2,2
300161,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",1917.47,2092.3,1534.54,2092.3,3626.84,684.71,704.14,1.5,1.0576,8216.5,10,28
300163,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",240.45,251.48,385.3,251.48,636.78,43.17,143.18,12.0,11.0016,518.0,2,2
300170,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,23.08,110.7,24.0,23.0,277.0,1,1
300188,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,25.96,124.49,24.0,23.0,311.5,1,1
300189,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,25.88,124.09,24.0,23.0,310.5,1,1
300194,30,erratic,high_volume_many_clients,MTS,finished_products,EOQ-ROP,806.76,1067.74,1874.9,1067.74,2942.63,1022.12,965.96,1.2632,0.8931,12265.5,25,51
300198,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,41.25,197.83,24.0,23.0,495.0,1,1
300199,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",1033.91,1084.84,828.23,1084.84,1913.07,199.46,500.08,6.0,6.2859,2393.5,2,5
300200,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",449.2,470.48,535.35,470.48,1005.82,83.33,231.54,8.0,7.7198,1000.0,3,3
300203,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",440.04,460.58,526.03,460.58,986.61,80.46,235.28,8.0,8.551,965.5,2,3
300204,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",415.34,435.34,519.04,435.34,954.38,78.33,207.57,8.0,7.0218,940.0,2,3
300206,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,57.67,276.56,24.0,23.0,692.0,1,1
300208,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,146.33,491.01,12.0,11.259,1756.0,1,2
300212,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",348.54,366.08,485.96,366.08,852.03,68.67,164.53,6.0,5.7414,824.0,2,4
300214,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,23.12,110.9,24.0,23.0,277.5,1,1
300216,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,20.62,98.91,24.0,23.0,247.5,1,1
300220,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",718.16,751.09,665.96,751.09,1417.05,128.96,425.72,8.0,10.8979,1547.5,3,3
300228,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,13.75,65.94,24.0,23.0,165.0,1,1
300234,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,44.46,147.57,12.0,11.0177,533.5,1,2
300238,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",429.26,451.43,546.47,451.43,997.9,86.83,197.57,6.0,5.1768,1042.0,2,4
300240,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,14.88,71.34,24.0,23.0,178.5,1,1
300241,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",292.83,306.86,434.75,306.86,741.61,54.96,147.55,8.0,7.2083,659.5,2,3
300242,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",325.47,340.39,448.22,340.39,788.61,58.42,198.98,12.0,11.6019,701.0,2,2
300243,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,101.5,287.46,8.0,8.021,1218.0,1,3
300245,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,12.62,60.55,24.0,23.0,151.5,1,1
300254,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,42.04,139.44,12.0,11.0003,504.5,1,2
300255,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,16.58,79.53,24.0,23.0,199.0,1,1
300258,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,26.88,128.89,24.0,23.0,322.5,1,1
300261,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",262.77,275.38,412.08,275.38,687.46,49.38,132.12,8.0,7.16,592.5,2,3
300265,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,17.83,85.53,24.0,23.0,214.0,1,1
300266,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",669.78,705.95,698.01,705.95,1403.96,141.67,297.87,3.4286,4.421,1700.0,5,11
300272,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,12.67,60.75,24.0,23.0,152.0,1,1
300273,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",434.69,454.64,518.35,454.64,972.99,78.12,273.43,12.0,12.2494,937.5,2,2
300274,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,26.58,127.49,24.0,23.0,319.0,1,1
300277,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",303.39,317.66,438.53,317.66,756.19,55.92,158.7,8.0,8.0555,671.0,3,3
300284,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,22.33,107.11,24.0,23.0,268.0,1,1
300288,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",328.01,343.32,454.1,343.32,797.42,59.96,175.52,8.0,8.5699,719.5,2,3
300290,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,107.67,304.88,8.0,8.0187,1292.0,1,4
300291,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",2060.78,2212.47,1429.38,2212.47,3641.86,594.08,804.51,1.7143,1.8339,7129.0,13,25
300292,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,82.0,217.02,8.0,7.0045,984.0,1,3
300295,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,21.33,102.31,24.0,23.0,256.0,1,1
300296,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",318.66,333.26,443.56,333.26,776.82,57.21,189.75,12.0,11.0011,686.5,2,2
300297,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,38.5,128.75,12.0,11.1827,462.0,1,2
300306,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,24.25,116.3,24.0,23.0,291.0,1,1
300310,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,21.71,104.11,24.0,23.0,260.5,1,1
300312,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,20.12,96.52,24.0,23.0,241.5,1,1
300313,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,22.38,76.58,12.0,11.7141,268.5,1,2
300315,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,48.08,159.5,12.0,11.0029,577.0,1,2
300323,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,17.38,83.33,24.0,23.0,208.5,1,1
300324,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",587.69,615.27,609.45,615.27,1224.71,108.0,309.77,8.0,8.2267,1296.0,2,3
300337,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,23.75,113.9,24.0,23.0,285.0,1,1
300347,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,42.96,206.02,24.0,23.0,515.5,1,1
300352,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",848.43,888.53,734.91,888.53,1623.44,157.04,439.47,6.0,7.8313,1884.5,4,4
300355,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,12.04,57.75,24.0,23.0,144.5,1,1
300359,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",370.15,389.1,505.19,389.1,894.29,74.21,171.74,6.0,5.3557,890.5,2,4
300361,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",285.88,298.99,420.17,298.99,719.16,51.33,176.79,12.0,11.861,616.0,2,2
300362,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,19.88,95.32,24.0,23.0,238.5,1,1
300369,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",146.66,153.38,300.94,153.38,454.32,26.33,87.42,12.0,11.0203,316.0,2,2
300370,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,7.67,36.77,24.0,23.0,92.0,1,1
300374,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,29.83,143.08,24.0,23.0,358.0,1,1
300376,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",363.61,381.09,485.22,381.09,866.31,68.46,182.23,8.0,7.0861,821.5,2,3
300378,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",957.59,1002.04,773.76,1002.04,1775.79,174.08,655.87,8.0,14.1947,2089.0,3,6
300380,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,20.38,97.72,24.0,23.0,244.5,1,1
300393,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",438.76,458.87,520.42,458.87,979.28,78.75,267.18,12.0,11.511,945.0,2,2
300395,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,95.92,319.02,12.0,11.0624,1151.0,1,2
300400,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",3451.04,3712.81,1877.72,3712.81,5590.53,1025.21,1335.38,1.6,1.6966,12302.5,20,44
300401,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",416.16,436.86,528.07,436.86,964.93,81.08,198.89,6.0,6.0168,973.0,4,6
300403,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,27.92,133.88,24.0,23.0,335.0,1,1
300408,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,21.17,101.51,24.0,23.0,254.0,1,1
300414,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,54.5,261.37,24.0,23.0,654.0,1,1
300424,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,30.38,145.67,24.0,23.0,364.5,1,1
300428,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",242.58,253.7,386.97,253.7,640.67,43.54,148.08,12.0,11.5662,522.5,2,2
300430,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",266.02,278.22,405.24,278.22,683.45,47.75,159.69,12.0,11.1842,573.0,2,2
300432,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",343.5,359.24,460.52,359.24,819.76,61.67,204.53,12.0,11.0,740.0,2,2
300434,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,29.71,142.48,24.0,23.0,356.5,1,1
300460,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,28.17,135.08,24.0,23.0,338.0,1,1
300462,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,11.83,56.75,24.0,23.0,142.0,1,1
300463,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,33.08,158.66,24.0,23.0,397.0,1,1
300465,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,47.25,226.6,24.0,23.0,567.0,1,1
300475,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,21.21,101.71,24.0,23.0,254.5,1,1
300477,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",549.97,585.79,694.61,585.79,1280.4,140.29,223.42,3.0,2.5361,1683.5,8,9
300482,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,44.54,213.61,24.0,23.0,534.5,1,1
300492,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,84.5,405.25,24.0,23.0,1014.0,1,1
300500,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,16.38,78.53,24.0,23.0,196.5,1,1
300508,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",2034.68,2235.7,1645.48,2235.7,3881.18,787.29,729.48,1.3333,0.8585,9447.5,19,50
300510,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,20.67,99.11,24.0,23.0,248.0,1,1
300836,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,13.75,65.94,24.0,23.0,165.0,1,1
300856,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,42.17,152.31,12.0,13.0473,506.0,1,2
300882,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,26.17,125.49,24.0,23.0,314.0,1,1
300928,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,29.58,141.88,24.0,23.0,355.0,1,1
301111,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",522.82,547.34,574.72,547.34,1122.06,96.04,275.87,8.0,8.2504,1152.5,3,3
301116,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,21.83,104.71,24.0,23.0,262.0,1,1
301133,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",1614.7,1724.5,1216.13,1724.5,2940.63,430.04,646.22,2.1818,2.2581,5160.5,8,16
301134,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",828.12,870.18,752.63,870.18,1622.81,164.71,387.16,3.4286,5.5252,1976.5,3,9
301162,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,230.17,1103.84,24.0,23.0,2762.0,1,1
301203,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",2593.75,2782.27,1593.5,2782.27,4375.77,738.33,1016.43,1.6,1.8952,8860.0,16,41
301213,30,stable,high_volume_many_clients,MTS,finished_products,EOQ-ROP,1138.46,1771.08,2919.06,1771.08,4690.13,2477.62,1358.53,1.0,0.3007,29731.5,32,112
301223,30,stable,high_volume_many_clients,MTS,finished_products,EOQ-ROP,985.31,1438.57,2470.84,1438.57,3909.41,1775.17,1177.67,1.0909,0.4401,21302.0,24,73
301256,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",1572.46,1736.76,1487.64,1736.76,3224.41,643.5,553.76,1.4118,0.7405,7722.0,18,39
301282,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",3055.46,3285.44,1760.02,3285.44,5045.46,900.71,1184.98,1.3333,1.7308,10808.5,19,43
301470,30,lumpy,high_volume_few_clients,Dynamic,finished_products,"(s,S)",4251.36,4545.77,1991.35,4545.77,6537.12,1153.04,1691.34,2.6667,2.1517,13836.5,1,11
301578,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",2262.93,2400.37,1360.61,2400.37,3760.98,538.29,944.96,2.1818,3.0817,6459.5,14,28
301607,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",916.74,987.49,976.25,987.49,1963.75,277.12,352.95,1.7143,1.6221,3325.5,13,23
301685,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",242.65,254.04,391.57,254.04,645.61,44.58,128.0,8.0,8.2424,535.0,2,4
301698,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",366.2,385.69,512.37,385.69,898.05,76.33,164.55,4.8,4.6471,916.0,3,6
301770,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,23.38,112.1,24.0,23.0,280.5,1,1
301792,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",322.62,337.78,451.88,337.78,789.67,59.38,169.37,8.0,8.1374,712.5,2,4
301832,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",5560.78,5914.34,2182.25,5914.34,8096.59,1384.71,2279.32,2.1818,2.7095,16616.5,12,40
301862,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",1578.81,1727.23,1413.91,1727.23,3141.14,581.29,574.61,1.6,0.9772,6975.5,15,34
301876,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",1314.09,1411.86,1147.56,1411.86,2559.42,382.92,511.37,1.6,1.7835,4595.0,17,26
301877,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",2503.17,2744.63,1803.41,2744.63,4548.04,945.67,904.04,1.4118,0.9139,11348.0,20,50
301878,30,erratic,high_volume_many_clients,MTS,finished_products,EOQ-ROP,1247.28,1675.65,2402.03,1675.65,4077.67,1677.67,1493.09,1.2632,0.7921,20132.0,23,73
301879,30,erratic,high_volume_many_clients,MTS,finished_products,EOQ-ROP,750.11,1040.45,1977.52,1040.45,3017.97,1137.08,897.47,1.1429,0.623,13645.0,24,60
301880,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",2976.7,3247.43,1909.58,3247.43,5157.01,1060.29,1093.91,1.3333,1.0644,12723.5,19,57
301881,30,erratic,high_volume_many_clients,MTS,finished_products,EOQ-ROP,424.12,586.3,1477.98,586.3,2064.28,635.17,507.47,1.2,0.6383,7622.0,17,35
301882,30,erratic,high_volume_many_clients,MTS,finished_products,EOQ-ROP,508.96,705.92,1628.76,705.92,2334.68,771.38,608.94,1.2,0.6232,9256.5,20,45
301883,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",1495.81,1638.38,1385.76,1638.38,3024.14,558.38,542.17,1.5,0.9428,6700.5,19,36
301884,30,erratic,high_volume_many_clients,MTS,finished_products,EOQ-ROP,1074.27,1481.41,2341.76,1481.41,3823.17,1594.54,1285.44,1.2632,0.6499,19134.5,25,74
301886,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",2661.74,2885.02,1734.18,2885.02,4619.2,874.46,1000.91,1.6,1.3101,10493.5,21,53
301887,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",2658.02,2898.34,1799.15,2898.34,4697.49,941.21,978.46,1.5,1.0807,11294.5,22,51
301888,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",1430.4,1500.78,973.61,1500.78,2474.38,275.62,692.92,3.0,6.3202,3307.5,9,16
301889,30,stable,high_volume_many_clients,MTS,finished_products,EOQ-ROP,689.6,1005.78,2063.65,1005.78,3069.43,1238.29,824.25,1.1429,0.4431,14859.5,19,55
301890,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",1980.06,2143.65,1484.41,2143.65,3628.06,640.71,747.76,1.5,1.3621,7688.5,17,35
301891,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",1773.69,1915.61,1382.6,1915.61,3298.21,555.83,675.91,1.8462,1.4787,6670.0,14,29
301892,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",2698.01,2956.55,1866.09,2956.55,4822.63,1012.54,976.36,1.3333,0.9298,12150.5,25,52
301893,30,stable,high_volume_many_clients,MTS,finished_products,EOQ-ROP,879.06,1287.17,2344.55,1287.17,3631.71,1598.33,1050.61,1.0435,0.4321,19180.0,33,77
301894,30,erratic,high_volume_many_clients,MTS,finished_products,EOQ-ROP,648.05,907.97,1871.07,907.97,2779.04,1017.96,775.22,1.0909,0.58,12215.5,25,57
301895,30,stable,high_volume_many_clients,MTS,finished_products,EOQ-ROP,834.11,1203.67,2231.08,1203.67,3434.75,1447.38,997.2,1.0435,0.4747,17368.5,24,62
301896,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",8393.33,9081.09,3043.62,9081.09,12124.71,2693.58,3177.09,1.5,1.3912,32323.0,18,44
301897,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",4520.23,4821.15,2013.25,4821.15,6834.4,1178.54,1822.14,1.8462,2.3904,14142.5,24,51
301907,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,10.96,52.55,24.0,23.0,131.5,1,1
301912,30,lumpy,high_volume_few_clients,Dynamic,finished_products,"(s,S)",3794.2,4069.6,1926.02,4069.6,5995.62,1078.62,1487.45,2.6667,1.9017,12943.5,1,10
301996,30,lumpy,low_volume_few_clients,MTO,raw_material,,0.0,0.0,0.0,0.0,0.0,28.88,96.96,12.0,11.2755,346.5,1,2
302002,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",1182.08,1279.05,1142.87,1279.05,2421.92,379.79,447.3,1.7143,1.3871,4557.5,14,27
302005,30,stable,high_volume_many_clients,MTS,finished_products,EOQ-ROP,504.55,763.22,1866.58,763.22,2629.81,1013.08,602.54,1.0435,0.3537,12157.0,22,53
302006,30,erratic,high_volume_many_clients,MTS,finished_products,EOQ-ROP,1055.38,1353.96,2005.4,1353.96,3359.37,1169.38,1264.16,1.2,1.1687,14032.5,23,56
302007,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",2815.25,3023.0,1672.82,3023.0,4695.82,813.67,1098.2,1.5,1.8217,9764.0,12,34
302008,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",3025.11,3260.51,1780.62,3260.51,5041.13,921.92,1161.98,1.6,1.5886,11063.0,21,48
302009,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",3505.16,3749.97,1815.88,3749.97,5565.85,958.79,1390.67,1.7143,2.1038,11505.5,21,44
302010,30,erratic,high_volume_many_clients,MTS,finished_products,EOQ-ROP,962.29,1271.88,2042.05,1271.88,3313.93,1212.5,1152.21,1.2632,0.903,14550.0,22,58
302011,30,stable,high_volume_many_clients,MTS,finished_products,EOQ-ROP,1481.76,2179.76,3066.18,2179.76,5245.94,2733.67,1770.74,1.0435,0.4196,32804.0,26,95
302044,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",1710.8,1881.16,1514.8,1881.16,3395.96,667.21,611.86,1.3333,0.841,8006.5,15,38
302045,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",936.31,1017.08,1043.03,1017.08,2060.11,316.33,349.32,1.7143,1.2194,3796.0,14,22
302046,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",4401.89,4754.63,2179.69,4754.63,6934.31,1381.46,1676.76,1.3333,1.4732,16577.5,24,66
302047,30,stable,high_volume_many_clients,MTS,finished_products,EOQ-ROP,1063.72,1566.85,2603.23,1566.85,4170.09,1970.5,1271.13,1.0435,0.4161,23646.0,24,85
302048,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",1588.52,1756.71,1505.12,1756.71,3261.83,658.71,556.96,1.3333,0.7149,7904.5,18,39
302049,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",2011.53,2178.35,1498.97,2178.35,3677.32,653.33,758.85,1.7143,1.3491,7840.0,18,33
302050,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",1732.75,1877.74,1397.5,1877.74,3275.24,567.88,652.02,1.6,1.3183,6814.5,15,28
302061,30,erratic,high_volume_many_clients,MTS,finished_products,EOQ-ROP,1173.31,1606.01,2414.17,1606.01,4020.18,1694.67,1404.12,1.1429,0.6865,20336.0,20,52
302064,30,lumpy,low_volume_many_clients,Dynamic,finished_products,"(s,S)",1147.44,1242.98,1134.44,1242.98,2377.42,374.21,432.37,2.0,1.335,4490.5,13,22
302065,30,erratic,high_volume_many_clients,MTS,finished_products,EOQ-ROP,921.65,1261.7,2140.14,1261.7,3401.84,1331.79,1102.95,1.2632,0.6859,15981.5,16,47
302066,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",1812.89,1978.11,1491.78,1978.11,3469.89,647.08,665.82,1.6,1.0588,7765.0,14,31
302067,30,lumpy,high_volume_many_clients,Dynamic,finished_products,"(s,S)",6747.62,7279.68,2677.02,7279.68,9956.7,2083.79,2582.06,1.4118,1.5354,25005.5,22,60
